task,method,classifier,primary_mean,primary_std,auc_mean,auc_std,accuracy_mean,balanced_accuracy_mean,precision_mean,recall_mean
bci_errp,bandpass,mobilenet,0.5107734435908221,0.013309666150798401,0.5296617835594274,0.020483790001201475,0.6580882352941176,0.5107734435908221,0.7161941490099231,0.8630029033596017
bci_errp,bandpass,random_forest,0.5307893044979637,0.0074316691589778865,0.5922074172177654,0.006499158257719616,0.6811470588235294,0.5307893044979637,0.7236945548357283,0.8902944836167566
bci_errp,bandpass,svm,0.6479920141884243,0.0045172754873744865,0.7038061773662088,0.004107704344399498,0.7032058823529412,0.6479920141884243,0.7971308184959132,0.7800082953131481
bci_errp,bandpass,vit,0.5421131827959064,0.024156746652921286,0.5634406090387041,0.02786534198341778,0.5918235294117646,0.5421131827959064,0.7388391535651008,0.6609705516383244
bci_errp,ic_unet,eegnet,0.5043081947880438,0.011617620445528654,0.5051191476209268,0.013201257858612531,0.6327647058823529,0.5043081947880438,0.7111880274161486,0.8114475321443384
bci_errp,ic_unet,lightgbm,0.4989658747256739,0.006774013252564435,0.49673681336677744,0.004630951919500484,0.622735294117647,0.4989658747256739,0.7085853811010043,0.7948983824139362
bci_errp,ic_unet,logistic_regression,0.5092133753327246,0.003438644752699823,0.5146985567916513,0.004077404548404239,0.5105294117647059,0.5092133753327246,0.7166013028990657,0.5123600165906262
bci_errp,ic_unet,mlp,0.5167595940245228,0.006886811788487622,0.5205845385931267,0.006526500087962007,0.6211176470588236,0.5167595940245228,0.7182663471137559,0.7662795520530901
bci_errp,ic_unet,mobilenet,0.5024113024270711,0.014047907624533198,0.49879420200387586,0.026934532463690715,0.6759999999999999,0.5024113024270711,0.7102820736431971,0.9174616341766901
bci_errp,ic_unet,random_forest,0.49355339258596953,0.004584457436240057,0.49353412212898495,0.004657469681832148,0.6137058823529411,0.49355339258596953,0.7057218361017841,0.7808378266279552
bci_errp,ic_unet,svm,0.5096992257008763,0.004046387444339285,0.5181938905731609,0.004206196017803169,0.5125294117647059,0.5096992257008763,0.7169387988515412,0.5164661965989217
bci_errp,ic_unet,vit,0.5106080615513913,0.010531943882437904,0.5216746299715787,0.012248291841191722,0.5708235294117647,0.5106080615513913,0.7170514495348129,0.6545831605143094
bci_errp,ica,eegnet,0.6058659984004892,0.013227213077649545,0.6433606251093006,0.012332648588310822,0.6690882352941177,0.6058659984004892,0.7722063283111076,0.7570302778929905
bci_errp,ica,lightgbm,0.5981061900733871,0.0066032787609490926,0.6480495319942008,0.005473285259217043,0.6902647058823529,0.5981061900733871,0.7623302648453744,0.8184570717544586
bci_errp,ica,logistic_regression,0.5822289061887314,0.006928150339472896,0.5938458254402744,0.006925310668769754,0.6312941176470588,0.5822289061887314,0.7612041544112003,0.6995437577768561
bci_errp,ica,mlp,0.6028631621414993,0.010885758249824908,0.6226168274075804,0.013851396592671702,0.6710882352941177,0.6028631621414993,0.7692604284308443,0.7659892160929076
bci_errp,ica,mobilenet,0.512734186377821,0.011415379908788182,0.5392743446262266,0.016330320136651505,0.6629411764705881,0.512734186377821,0.7158902481270797,0.8718788884280381
bci_errp,ica,random_forest,0.5732496700537099,0.0062747616558428655,0.6377187008147273,0.004214537164948918,0.6910000000000001,0.5732496700537099,0.7463533471666419,0.8547905433430112
bci_errp,ica,svm,0.5847436064649763,0.006675504953983841,0.5953239051381873,0.007784347862659252,0.6336764705882353,0.5847436064649763,0.7627280032054454,0.701742015761095
bci_errp,ica,vit,0.5468684563797794,0.02680572059161338,0.5670950132083361,0.04216532661232147,0.5919705882352941,0.5468684563797794,0.7420719684314414,0.6547075902115305
bci_errp,raw,eegnet,0.6612877068743319,0.019498105209650174,0.7258739749857306,0.023262943598251172,0.6476764705882353,0.6612877068743319,0.8352051782464214,0.6287432600580672
bci_errp,raw,lightgbm,0.6008480259209664,0.0065827820982407165,0.6400354123479385,0.00810264535478184,0.7160588235294117,0.6008480259209664,0.7600292377101151,0.8763168809622564
bci_errp,raw,logistic_regression,0.6550635170198605,0.004368793023737894,0.6903475350380524,0.005120461912018236,0.689764705882353,0.6550635170198605,0.8078920216145352,0.7380340107839072
bci_errp,raw,mlp,0.6267332612281341,0.01410808710244924,0.6947923634471094,0.01473570092903313,0.7362352941176471,0.6267332612281341,0.7735389353072355,0.8885524678556616
bci_errp,raw,mobilenet,0.5193447080053966,0.01477203419150469,0.5423345309394632,0.025567970920010345,0.6459705882352942,0.5193447080053966,0.7201852569743782,0.8221070095396101
bci_errp,raw,random_forest,0.5813789511251725,0.003946096365957331,0.6589224732111292,0.005399166416888019,0.7117058823529412,0.5813789511251725,0.7488238399422906,0.8929904603898796
bci_errp,raw,svm,0.6537346103698124,0.004239875091685686,0.6888054581315247,0.0052133551983579,0.6902058823529412,0.6537346103698124,0.8064764340202595,0.740937370385732
bci_errp,raw,vit,0.5892655796087951,0.028226985710566047,0.6323373994906225,0.031472937209427114,0.6418235294117647,0.5892655796087951,0.7673322356454998,0.7149315636665283
seizure_detection,asr,eegnet,0.5603965488740081,0.1113484828183013,0.624854174880739,0.16536643082329733,0.5594308774266958,0.5603965488740081,0.5739962286580178,0.5580300832568048
seizure_detection,asr,lightgbm,0.7112753630256392,0.09369501834705939,0.7867477683941948,0.12081540504558735,0.7145701986304657,0.7112753630256392,0.7453672100837887,0.650482481258835
seizure_detection,asr,logistic_regression,0.6550194062156434,0.07555376006115115,0.7031757855888773,0.09457893320959412,0.6649529526439465,0.6550194062156434,0.6635406125130292,0.5929375857018152
seizure_detection,asr,mlp,0.6690161638596811,0.0969104236598418,0.6990692261942152,0.1151085477067703,0.6749212083085643,0.6690161638596811,0.6912131381885447,0.5931935689803276
