task,method,classifier,repeat,seed,primary_name,primary,accuracy,balanced_accuracy,precision,recall,auc
attention_state,asr20,mobilenet,5,1626406676,accuracy,0.5777777777777777,0.5777777777777777,0.5777777777777778,0.575733575893172,0.5777777777777778,0.7626924189814815
attention_state,asr20,mobilenet,6,126691620,accuracy,0.4872222222222222,0.4872222222222222,0.4872222222222222,0.49474196917664254,0.4872222222222222,0.6511541666666667
attention_state,asr20,mobilenet,7,28155425,accuracy,0.6105555555555555,0.6105555555555555,0.6105555555555555,0.622703411347548,0.6105555555555555,0.8148777777777778
attention_state,asr20,mobilenet,8,149869551,accuracy,0.5455555555555556,0.5455555555555556,0.5455555555555556,0.7051705873241266,0.5455555555555556,0.7595722222222222
attention_state,asr20,mobilenet,9,2044435244,accuracy,0.5868055555555556,0.5868055555555556,0.5868055555555555,0.6254555854459561,0.5868055555555555,0.7823922164351852
attention_state,asr20,mobilenet,10,1786428360,accuracy,0.5916666666666667,0.5916666666666667,0.5916666666666667,0.6304198761253924,0.5916666666666667,0.790075954861111
attention_state,asr20,random_forest,1,2013945970,accuracy,0.47944444444444445,0.47944444444444445,0.4794444444444445,0.48522019691639207,0.4794444444444445,0.612325462962963
attention_state,asr20,random_forest,2,61155527,accuracy,0.4777777777777778,0.4777777777777778,0.4777777777777778,0.48562671881138614,0.4777777777777778,0.7301625
attention_state,asr20,random_forest,3,1072713694,accuracy,0.49444444444444446,0.49444444444444446,0.49444444444444446,0.5100555552775691,0.49444444444444446,0.7352689814814815
attention_state,asr20,random_forest,4,2111243235,accuracy,0.39375,0.39375,0.39375,0.4611638745854359,0.39375,0.6157027633101851
attention_state,asr20,random_forest,5,1626406676,accuracy,0.45555555555555555,0.45555555555555555,0.45555555555555555,0.45689639467307935,0.45555555555555555,0.6513639322916667
attention_state,asr20,random_forest,6,126691620,accuracy,0.47944444444444445,0.47944444444444445,0.4794444444444445,0.48522019691639207,0.4794444444444445,0.612325462962963
attention_state,asr20,random_forest,7,28155425,accuracy,0.4777777777777778,0.4777777777777778,0.4777777777777778,0.48562671881138614,0.4777777777777778,0.7301625
attention_state,asr20,random_forest,8,149869551,accuracy,0.49444444444444446,0.49444444444444446,0.49444444444444446,0.5100555552775691,0.49444444444444446,0.7352689814814815
attention_state,asr20,random_forest,9,2044435244,accuracy,0.39375,0.39375,0.39375,0.4611638745854359,0.39375,0.6157027633101851
